,text,sentiment
0,finnish airline finnair is starting the temporary layoffs of cabin crews in february 2010  ,-1.0
1,the corresponding increase in the share capital   in total eur 300 00 was registered in the finnish trade register on may 8   2008  ,0.0
2,in the third quarter of fiscal 2008 efore swung to a net loss of eur 400 000 versus a net profit of eur 200 000 for the corresponding period of fiscal 2007  ,-1.0
3,alexandria   va    oct  15    aaron moss of hampshire   great britain   has developed an ornamental design for a handset   the u s  patent   trademark office announced  ,0.0
4,vaisala oyj stock exchange release 26 03 2010 klo 09 00 1   1   the annual general meeting of vaisala oyj decided on march 25   2010 to approve the company  s annual accounts for 2009  ,0.0
5,the product  s front edge folding maximizes weather resilience and enables a seamless roof finish  ,0.0
6,raute is listed on the nordic exchange in helsinki  ,0.0
7,kesko food ltd press release 04 01 2006 at 13 00 kesko food ltd is launching a major tv campaign to recruit as many as one hundred new k food retailers  ,1.0
8,w  rtsil    s aim is to serve the rapidly growing number of vessels and increasing marine activity in the barents sea region  ,0.0
9,a tinyurl link takes users to a scamming site promising that users can earn thousands of dollars by becoming a google   nasdaq   goog   cash advertiser  ,-1.0
10,earnings per share eps rose to eur 0 11 from eur 0 03  ,1.0
11,the swedish buyout firm has sold its remaining 22 4 percent stake   almost eighteen months after taking the company public in finland  ,0.0
12,alexandria   va    march 15    jaakko vilo of turku   finland   has developed a panel press  ,0.0
13,since the registration of the shares subscribed in a directed share issue   the new number of panostaja shares and voting rights is 41 733 110  ,0.0
14,a worm set to activate friday will corrupt documents using the most common file types   including     ,0.0
15,finnish metso paper has been awarded a contract for the rebuild of sabah forest industries     sfi   pulp mill in sabah   malaysia  ,1.0
16,stora is due to release its fourth quarter and 2009 full year earnings on feb  4  ,0.0
17,body the credit falls due february 24   2014  ,0.0
18,the amendment will not incur additional costs  ,0.0
19,sales in finland decreased by 2 0     and international sales decreased by 9 3   in terms of euros   and by 15 1   in terms of local currencies  ,-1.0
20,so far as is known   he did not sell shares that he owns personally  ,0.0
21,alexandria   va    jan  9    united states patent no  7 862 685   issued on jan  4   was assigned to kemira chemicals inc    marietta   ga     ,0.0
22,karppinen expects the consolidation trend to continue in the finnish market  ,0.0
23,we are pleased to invite you to join m real  s international conference call at 3 00 p m  eet  ,0.0
24,operating profit totalled eur 9 6 mn   down from eur 42 0 mn the year before  ,-1.0
25,outotec oyj press release   february 19   2008 at 11 00 am outotec has won two large minerals processing technology orders from mirabela mineracao do brasil ltda   brazil and from cumerio med jsco   bulgaria  ,1.0
26,the company expects net sales of 65 mln euro     85 1 mln   for 2006  ,0.0
27,the growth of net sales has continued favourably in the middle east and africaand in asia pacific  ,1.0
28,in q1 of 2009   the company  s result before taxes from continuing operations   excluding non recurring items   totalled eur  0 4 mn   compared to eur  0 1 mn in the corresponding period in 2008  ,-1.0
29,commission income decreased to eur 3 8 mn   compared to eur 4 6 mn in the third quarter of 2007  ,-1.0
30,last week   however   nokia announced that it will pursue a long term relationship with microsoft   and make the windows phone 7 operating system the foundation for nokia mobile phones  ,0.0
31,these new units will be built at cargotec  s state of the art manufacturing facility in san antonio   texas   usa   which started operations in 2009  ,0.0
32,elisa ceo sami seppanen said emt  s slogan    best coverage across estonia    clearly gives misleading information to consumers  ,-1.0
33,the chain is to unite 45 50 centres by the end of 2008  ,0.0
34,at present   the trade mark pit produkt is little known outside the north west of russia  ,-1.0
35,the two companies will also partner in further developing raiso  s cholesterol lowering brand   benecol  ,1.0
36,the sale will allow campofrio to focus on its recently announced takeover of groupe smithfield holdings   the european unit of smithfield foods inc    sfd   of the u s ,0.0
37,  among other finnish shares traded in the us   stora enso closed 0 33 pct lower at 12 11 eur   upm kymmene was up 0 28 pct at 18 10 eur   and metso was down 0 13 pct at 31 06 eur  ,0.0
38,operating profit of the asian plants grew markedly  ,1.0
39,bg ad   bulgaria  s leading internet company  ,1.0
40,patrizia adds the acquisition to a portfolio already worth eur3bn  ,0.0
41,mobile phone sales rose 25   to 5 87 billion euros   while enterprise solution sales dropped 39   to 186 million euros  ,1.0
42,south east asian marketers spend us 244m to acquire users as demand for fintech apps rise in 2020,0.0
43,the contracts comprise turnkey orders for roro systems for two roro cruise vessels under construction for viking line and tallink  ,0.0
44,mr lee said he hoped that neste  s move will   pave the way for more collaboration projects between our two countries    ,1.0
45,helsinki based componenta bought turkish listed company doktas in october 2006 for 89 million euros   making it the largest finnish investment in turkey to date  ,0.0
46,it also confirmed its earnings guidance for the whole 2009 issued in its report for the whole 2008  ,0.0
47,the company  s profit before taxes fell to eur 21 1 mn in the third quarter of 2008   compared to eur 35 8 mn in the corresponding period in 2007  ,-1.0
48,a survey conducted by taloustutkimus for sampo life shows that companies are badly prepared to losing key staff members  ,-1.0
49,repeats sees 2008 operating profit down y y   reporting by helsinki newsroom   keywords   tecnomen results,-1.0
50,in addition   kone signed a two year maintenance contract for the escalators  ,1.0
51,the idea of saving electricity in data transfer is still a new one  ,0.0
52,myanmar junta chief to attend asean summit,0.0
53,personal spending stagnated in may as prices increased  ,-1.0
54,the potential acquirer is cencorp corporation which is a related entity to sav owing to each of sav and cencorp being a subsidiary of the finnish savcor group oy  ,0.0
55,los angeles based pacific office properties trust acquires   owns   and operates office properties in the western u s    focusing initially on the markets of honolulu   san diego   los angeles   and phoenix  ,0.0
56,pharmaceutical market in poland global research   data services published recently a market analysis about the pharmaceutical markets in poland  ,0.0
57,the board of directors has proposed the extraordinary general meeting to authorise the board to decide on the issuance of a maximum of 30mn new shares in one or more share issues  ,0.0
58,it includes options for additional 30 communal building sites as well as construction supervision works for all construction sites  ,0.0
59,   overall   we  re pleased with the startup curve     and we  re pleased with the quality of the paper      stora spokeswoman patricia dietz said tuesday  ,1.0
60,operating profit totalled eur 5 8 mn   up from a loss of eur 1 7 mn in the fourth quarter of 2009  ,1.0
61,rosendal at outotec com eila paatela   vice president   corporate communications tel   358 20 529 2004    358 400 817198 e mail eila  ,0.0
62,total operating revenue grew by 27 6   year on year to eur61m  ,1.0
63,svyturys utenos alus   which is controlled by the nordic group baltic beverages holding   bbh     posted a 4 7 per cent growth in beer sales for january may to 46 22 million litres  ,1.0
64,the negotiations concern personnel of cencorp corporation and singulase oy as whole in finland and in sweden   the company said  ,0.0
65,companies evaluated in the report include aladdin   ca   f secure   kaspersky   marshal   mcafee   microsoft   panda   proofpoint   sophos   symantec   trend micro   tumbleweed   and websense  ,0.0
66,the record date for dividend distribution is march 14   2008  ,0.0
67,during the rally   which was authorized by the city administration   a consulate official came out to the workers   spoke to them and took a letter from them  ,0.0
68,as the largest elevator market in the world   chinese output of elevators continued to rise to 262 000 units in 2009   up about 5   yr on yr  ,1.0
69,pharmaceuticals group orion corp reported a fall in its third quarter earnings that were hit by larger expenditures on r d and marketing  ,-1.0
70,according to product manager lassi hietanen   building a power plant that burns mixed waste in helsinki may not be a good idea because this reduces the production of combined power plants using natural gas  ,0.0
71,the shopping center will have a prime location right next to the myllypuro metro station  ,1.0
72,kauko telko  s centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and group administration by the end of the year  ,0.0
