,sentiment,text
0,-1.0, sorry about that   i m leaving  tweet everyone tomorrow during the cup race 
1,-1.0,just got off work    was slow  i wanna see up  getting ready for gears 
2,-1.0, you mean you can t dance like that tony    you ve blown all my illusions now 
3,-1.0,passed my driving test  can t get the actual license until monday  though 
4,-1.0,looking at more houses to buy tomorrow  want to see  up   jen has headache 
5,-1.0,needs a rich husband so she has a pool and doesn t have to buy a blow up one 
6,-1.0,jordy told me to tweet about him  so i am  he takes to long to text back  
7,-1.0,all i want to do is lay outside in the sunshine but my headache won t allow me 
8,-1.0,watchin batman begins  and maybe the next after as i aint seen 2nd one yet  
9,-1.0,repairing my optical drive on white macbook and i snap my blue tooth cable 
10,-1.0,eating chips  so thursty  we only have water and milk home    gonna look again 
11,-1.0,  i wish i could see u guys tonight  any chance u guys gonna come to brazil 
12,-1.0,hey jojo let me know how the fiesta goesk  unkle joe has to work all weekend  
13,-1.0, any more  coupons  you guys changed the expiration date on the recent one    
14,-1.0, i was laughing at the penis joke  as for pegasi i doubt i can make it 
15,-1.0,couldnts ee drage me to hell tonight after waiting all week fro it  gutted 
16,-1.0, ha yeah  are you ok now   tbo was very pretty and let me us the toilet   
17,-1.0, lol  what s a taco paco  and unfortunately i cant see the picture  sorry
18,-1.0,needs a little trip   orlando maybe   wish i could see my family and dog in ga 
19,-1.0,  o   ugh i wish i could but im going to palmsprings  http   tinyurl com kv9qbj
20,-1.0,way to nice of a day to be at work but that s where i ll be for the next days  
21,-1.0,danieleterrell  stranded at the kangaroo   pumped gas and now car won t start 
22,-1.0,  who come u never tweet me back its very upseting and it hurts my fellings 
23,-1.0,was all packed now i am having issues  everything i bought too much stuff 
24,-1.0,watching the french open  go serena  i really wish it was tennis season now  
25,-1.0,i would vote for diversity from britain s got talent  but i can t get through 
26,-1.0, he was first with me too frugal  so sad and so many tears for dear oscar  
27,-1.0, sao em follow anh ho   i m    ko  c  follow ch  tr   m  anh tu n anh c ng r a 
28,-1.0,i was tanning for like five minutes but then the weather decided to hate me 
29,-1.0,well twitter  i guess  this is  goodbye   o   i ll see you tomorrow  xo
30,-1.0,feeling like poo and cant see my baby why does this have to happen to me 
31,-1.0, i so wished i still lived in pittsburgh so i could get myself a yard sign 
32,-1.0,kids dont wanna play with mommy today they want an adventure parental free 
33,-1.0, i am wonderful  god  i haven t seen you in sooo long    hope all is well lady 
34,-1.0,i really need to study  but i got a terrible headache  life is so unfair 
35,-1.0,the weather is soooo hot and i have to stay at home to study   not fair 
36,-1.0, i will   i am so sorry to hear that    our prayers are with you and your son 
37,-1.0, ooooh  i was talking to john woodcock too  i doubt its the same one tho 
38,-1.0,just a twitterdream for   unfortunately  but hey  go pay  em a visit anyway 
39,-1.0, baby have you slept at all  lol if i wasn t the dd i would get to drink too 
40,-1.0,my mom didn t let me go to cami s hause whit juli  oooh   i miss u girls 
41,-1.0,still cant believe that the blue jays came from behind and beat the redsox 
42,-1.0,trouble on the front straightaway  my spf is loose loose loose ie ifm burning 
43,-1.0,went to the pet store  fell in love with a puppy  can t afford it  sulking  
44,-1.0,i guess i ll just have to pull something out of the closet for tonight 
45,-1.0,my finger is so sore  it s unreal  damn reins   should ve just worn my gloves 
46,-1.0, ah no when i had it i was puking shaking and freeezing with the shivers 
47,-1.0,  oh no  are you ok  i hate hate hate facebook for just that reason   x
48,-1.0,and now i m crying  y  i fail at life sorry for all the depressive tweets 
49,-1.0,havent been to a swap meet in years  on a side note  my hard drive is failure 
50,-1.0,tickets for annapolis trolley tour had the wrong time  so we missed the tour   
