,Text,Reason,Sentiment,Emotion
0,big eyes  binance coin  and aave are your best bet to become financially free  bnb  crypto  cryptocurrency, best bet to become financially free,1.0,Happy
2,build your  nfts on the future of  blockchain  fastest evm chain   2 sec tx finality time  all that and much more  accompanied by delegated proof of stake   getting scalability to new heights  i m super  bullish on  vlx    how bout you  cryptonews  sol  crypto  cryptocurrency,super  bullish,1.0,Happy
4, altcoin  cryptocurrency  cryptocurrency market looks great,market looks great,1.0,Happy
6,cryptocurrencies are gaining popularity all over the world and australia is no exception, gaining popularity,1.0,Happy
7,cryptocurrency market still shaky expect huge volatility this week,market still shaky,1.0,Happy
12,With the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability .,increase the production profitability,1.0,Happy
13,"According to the company 's updated strategy for the years 2009-2012 , Basware targets a long-term net sales growth in the range of 20 % -40 % with an operating profit margin of 10 % -20 % of net sales .",net sales growth,1.0,Happy
14,FINANCING OF ASPOCOMP 'S GROWTH Aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding HDI printed circuit boards PCBs .,pursuing its growth strategy,1.0,Happy
15,"For the last quarter of 2010 , Componenta 's net sales doubled to EUR131m from EUR76m for the same period a year earlier , while it moved to a zero pre-tax profit from a pre-tax loss of EUR7m .", net sales doubled,1.0,Happy
16,"In the third quarter of 2010 , net sales increased by 5.2 % to EUR 205.5 mn , and operating profit by 34.9 % to EUR 23.5 mn .",net sales increased,1.0,Happy
17,Operating profit rose to EUR 13.1 mn from EUR 8.7 mn in the corresponding period in 2007 representing 7.7 % of net sales .,Operating profit rose,1.0,Happy
18,"Operating profit totalled EUR 21.1 mn , up from EUR 18.6 mn in 2007 , representing 9.7 % of net sales .",Operating profit up from ,1.0,Happy
19,TeliaSonera TLSN said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen Eesti Telekom 's offering to its customers .,would strengthen Eesti Telekom,1.0,Happy
21,"Finnish Talentum reports its operating profit increased to EUR 20.5 mn in 2005 from EUR 9.3 mn in 2004 , and net sales totaled EUR 103.3 mn , up from EUR 96.4 mn .",Finnish Talentum operating profit and net sales increase by EUR 10.3 mn in 2005,1.0,Happy
22,"Clothing retail chain Sepps sales increased by 8 % to EUR 155.2 mn , and operating profit rose to EUR 31.1 mn from EUR 17.1 mn in 2004 .", Sepps sales increased by 8 % ,1.0,Happy
23,"Consolidated net sales increased 16 % to reach EUR74 .8 m , while operating profit amounted to EUR0 .9 m compared to a loss of EUR0 .7 m in the prior year period .",net sales increased 16 %,1.0,Happy
24,"Foundries division reports its sales increased by 9.7 % to EUR 63.1 mn from EUR 57.5 mn in the corresponding period in 2006 , and sales of the Machine Shop division increased by 16.4 % to EUR 41.2 mn from EUR 35.4 mn in the corresponding period in 2006 .",sales increased by 9.7 %,1.0,Happy
25,"HELSINKI ( AFX ) - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets , and by Nokian Tyres after its fourth-quarter earnings report beat analysts ' expectations , dealers said .",fourth-quarter earnings report beat analysts ' expectations,1.0,Happy
28,"Lifetree was founded in 2000 , and its revenues have risen on an average by 40 % with margins in late 30s .", revenues have risen  by 40 %,1.0,Happy
30,"MegaFon 's subscriber base increased 16.1 % in 2009 to 50.5 million users as of December 31 , while its market share by the number of customers amounted to 24 % as of late 2009 , up from 23 % as of late 2008 , according to TeliaSonera estimates .",MegaFon 's subscriber base increased 16.1 %,1.0,Happy
31,"Net income from life insurance doubled to EUR 6.8 mn from EUR 3.2 mn , and net income from non-life insurance rose to EUR 5.2 mn from EUR 1.5 mn in the corresponding period in 2009 .",Net income from life insurance doubled,1.0,Happy
32,Net sales increased to EUR193 .3 m from EUR179 .9 m and pretax profit rose by 34.2 % to EUR43 .1 m. ( EUR1 = USD1 .4 ),Net sales increased,1.0,Happy
33,"Net sales surged by 18.5 % to EUR167 .8 m. Teleste said that EUR20 .4 m , or 12.2 % , of the sales came from the acquisitions made in 2009 .",Net sales surged by 18.5 %,1.0,Happy
34,Nordea Group 's operating profit increased in 2010 by 18 percent year-on-year to 3.64 billion euros and total revenue by 3 percent to 9.33 billion euros .,operating profit and total revenue increased,1.0,Happy
35,"Operating profit for the nine-month period increased from EUR13 .6 m , while net sales increased from EUR394 .7 m , as compared to the corresponding period in 2005 .",operating profit and net slaes increased,1.0,Happy
36,"Operating profit for the nine-month period increased from EUR3 .1 m and net sales increased from EUR61 .5 m , as compared to the corresponding period in 2007 .",operating profit and net slaes increased,1.0,Happy
37,"Operating profit for the three-month period increased from EUR1 .2 m , while revenue increased from EUR20 .2 m , as compared to the corresponding period in 2005 .",operating profit and revenue increased,1.0,Happy
39,"The company 's net profit rose 11.4 % on the year to 82.2 million euros in 2005 on sales of 686.5 million euros , 13.8 % up on the year , the company said earlier .",company 's net profit and sales increased,1.0,Happy
40,"The Lithuanian beer market made up 14.41 million liters in January , a rise of 0.8 percent from the year-earlier figure , the Lithuanian Brewers ' Association reporting citing the results from its members .", Lithuanian beer market grew 14.41 million liters in January,1.0,Happy
41,"Viking Line 's cargo revenue increased by 5.4 % to EUR 21.46 mn , and cargo volume increased by 2.4 % to 70,116 cargo units .",Viking Line 's cargo revenue and volumn increased,1.0,Happy
43,10 February 2011 - Finnish media company Sanoma Oyj HEL : SAA1V said yesterday its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m for 2009 and announced a proposal for a raised payout .,net profit almost tripled to EUR297 .3 m from EUR107 .1 m,1.0,Happy
44,"A Helsinki : ELIiV today reported EPS of EUR1 .13 for 2009 , an increase over EPS of EUR1 .12 in 2008 .",increase over EPS of EUR1 .12 in 2008,1.0,Happy
46,"Commission income increased by 22 % to EUR 4.4 mn , and lending volume rose by 13.5 % .",income increased by 22 %,1.0,Happy
47,"In January , traffic , measured in revenue passenger kilometres RPK , went up by 3.2 % and capacity , measured in available seat kilometres ASK , rose by 12.2 % .",traffic revenue went up by 3.2 %,1.0,Happy
48,"In January-September 2010 , Fiskars ' net profit went up by 14 % year-on-year to EUR 65.4 million and net sales to EUR 525.3 million from EUR 487.7 million .", Fiskars' net profit went up by 14 % year-on-year,1.0,Happy
49,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .",Net income from life insurance and  non-life insurance rose,1.0,Happy
51,Sales have risen in other export markets .,Sales have risen,1.0,Happy
52,Sales increased due to growing market rates and increased operations .,Sales increased,1.0,Happy
53,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,strengthens our long-term partnership,1.0,Happy
55,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,increase in its net sales for 2010,1.0,Happy
56,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .",The company 's order book up by  24.2 pct,1.0,Happy
57,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .",paper demand and average paper prices increased,1.0,Happy
58,Circulation revenue has increased by 5 % in Finland and 4 % in Sweden in 2008 .,Circulation revenue revenue increased,1.0,Happy
59,Operating profit margin increased from 11.2 % to 11.7 % .,Operating  profit margin increased ,1.0,Happy
62,"Again , the most significant sales increase of 18.6 % was in Russia .",sales increase,1.0,Happy
63,Alma Media expects its net sales to increase as forecast previously .,sales increase,1.0,Happy
64,Also Lemmink inen 's profit for accounting period went up to EUR 3.1 mn from EUR -24.5 mn a year ago .,went up,1.0,Happy
65,"At the end of March 2007 , the group 's order book was at EUR 39.6 mn , up 42 % from the corresponding period in 2006 .",up,1.0,Happy
66,"At the same time profit of the company increased by 10 % in H1 and reached Ls 79,000 .",profit increased,1.0,Happy
67,"Besides we have increased the share of meat in various sausages and are offering a number of new tastes in the grill products and shish kebabs segment , '' Paavel said .",increased the share,1.0,Happy
68,"Both operating profit and net sales for the 12-month period increased , respectively from EUR10 .5 m and EUR28 .8 m , as compared to the financial year 2004 .",Operating profit and net sales increased,1.0,Happy
69,"Both operating profit and net sales for the 12-month period increased , respectively from EUR20 .8 m and EUR177 .7 m , as compared to the financial year 2004 .",Operating profit and net sales increased,1.0,Happy
70,Cargo volume grew by 7 % .,grew,1.0,Happy
71,Cargo volume increased by approximately 5 % .,Cargo volume increased,1.0,Happy
74,"The Helsinki-based company , which also owns the Salomon , Atomic and Suunto brands , said net profit rose 15 percent in the three months through Dec. 31 to (  x20ac ) 47 million ( $ 61US million ) , from (  x20ac ) 40.8 million a year earlier .",net profit rose 15 percent in the three months,1.0,Happy
75,"We also strengthen our existing partnership with Cybercom '' , says Teleste CTO Esko Myllyla .",strengthen existing partnership with Cybercom,1.0,Happy
76,Net sales surged by 30 % to EUR 36 million .,sales surged by 30 %,1.0,Happy
79,cryptocurrency market still shaky expect huge volatility this week,cryptocurrency market still shaky and volatility,1.0,Happy
