,text,score
0,finnish technology company raute corporation   omx helsinki   rutav   issued on tuesday   september   a profit warning for the financial year   ,-1.0
1,the company  s equipment rental portfolio consists primarily of tools for small and mid sized customers in the construction industry   ,0.0
2,essar shipping falls 5  as delisting price at discount to cmp,-1.0
3,shares of standard chartered   stan   rose 2   in the ftse   while royal bank of scotland   rbs   shares rose   and barclays shares   barc     bcs   were up 7     ,1.0
4,the filter tips cover the volume range from 1   l including new sizes for     120       and   l volume capacities   ,0.0
5,wave might be in progress   es f  spx  spy  vix  sp500 https   t co wvshozyivx,-1.0
6,sales rose to 9 mln eur compared with last year  s 1 mln eur and in line with mln eur consensus figure   ,1.0
7,cmc shares crash over per cent after merger announcement with tata consultancy services,-1.0
8,the passenger ferry will have dimensions of m length overall   m length between perpendiculars   70 m breadth and 55 m design draught   ,0.0
9,kesko agro eesti   the retailer and wholesaler of grain   agricultural and warehousing machinery and accessories   had net sales of million euros in   an increase by one tenth over the preceding year   ,1.0
10,as part of the agreement   aspocomp will also give meadville a pct slice of a subsidiary operating in oulu   finland   ,0.0
11,the contract covers the manufacturing   surface treatment and installation of the steel structures   ,0.0
12,the sales of the tiimari segment fell by 0   year on year to eur3  m in june   ,-1.0
13,incap contract manufacturing will carry out the manufacturing for these agreements at its factory in tumkur   near bangalore   ,0.0
14, google alphabet  goog almost literally lights their cash on fire  other bets  to hide the profitability of the search bus ,1.0
15,acc unlikely to run up in a hurry  ashwani gujral  market strategist,-1.0
16, walking with a friend in the dark is better than walking alone in the light    helen keller  softwareengineer  javascr ,1.0
17,cs cabot  s main consumers on the czech and slovak market are tires producers barum continental and matador continental   ,0.0
18,componenta increased its stake in turkish steel company doktas dokumculuk ticaret ve sanayi a s  to 6 pct stake in march   ,1.0
19, if you are thinking about buying  brk b        don t do it    loves  dividends but he won t pay you any  ,-1.0
20,global banking news   september tieto corporation and pohjola bank   pink   pojlf   are to cooperate on swift services   ,1.0
21,cencorp would focus on the development   manufacture and marketing of standard products for production automation   ,0.0
22,lkab   headquartered in lulea   sweden   is a high tech mining company producing upgraded iron ore products for the steel industry   ,0.0
23,raisio  s bid to buy glisten is a    win win    deal for both companies   the chairman of the uk snacks firm told just food today february   ,1.0
24,sectoral churning likely  it  pharma to outperform in weeks to come  mitesh thacker,1.0
25, may   finnish liquid handling products and diagnostic test systems maker biohit oyj   hel   biobv   said today   may   its net loss narrowed to eur0  m   usd0  m   for the first quarter of from eur0  m for the same period of   ,1.0
26,kai tulonen   chief technology officer   sysopen digia says      mobility business suite represents a significant milestone in the company  s offering to the telecommunications industry   ,1.0
27,in july september   konecranes   sales decreased to eur 7 mn from eur 4 mn in july september   ,-1.0
28,financial technologies slips  after government  orders merger with nsel,-1.0
