,sentiment,text
0,1.0, i loooooooovvvvvveee my kindle2  not that the dx is cool  but the is fantastic in its own right 
1,1.0,reading my kindle2     love it    lee childs is good read 
2,1.0,ok  first assesment of the  kindle2    it fucking rocks   
3,1.0, you ll love your kindle2  i ve had mine for a few months and never looked back  the new big one is huge  no need for remorse    
4,1.0,  fair enough  but i have the kindle2 and i think it s perfect    
5,1.0, no  it is too big  i m quite happy with the kindle2 
6,-1.0,fuck this economy  i hate aig and their non loan given asses 
7,1.0,jquery is my new best friend 
8,1.0,loves twitter
9,1.0,how can you not love obama  he makes jokes about himself 
10,0.0,check this video out    president obama at the white house correspondents  dinner http   bit ly imxum
11,-1.0, i firmly believe that obama pelosi have zero desire to be civil   it s a charade and a slogan  but they want to destroy conservatism
12,1.0,house correspondents dinner was last night whoopi  barbara  amp  sherri went  obama got a standing ovation
13,1.0,watchin espn  jus seen this new nike commerical with a puppet lebron  sh t was hilarious   lmao   
14,-1.0,dear nike  stop with the flywire  that shit is a waste of science  and ugly  love  
15,1.0, lebron best athlete of our generation  if not all time  basketball related  i don t want to get into inter sport debates about     2
16,-1.0,i was talking to this guy last night and he was telling me that he is a die hard spurs fan   he also told me that he hates lebron james 
17,1.0,i love lebron  http   bit ly pdhur
18,-1.0, lebron is a beast  but i m still cheering the a  til the end 
19,1.0, lebron is the boss
20,1.0, lebron is a hometown hero to me  lol i love the lakers but let s go cavs  lol
21,1.0,lebron and zydrunas are such an awesome duo
22,1.0, lebron is a beast    nobody in the nba comes even close 
23,1.0,downloading apps for my iphone  so much fun     there literally is an app for just about anything 
24,1.0,good news  just had a call from the visa office  saying everything is fine     what a relief  i am sick of scams out there  stealing 
25,1.0,http   twurl nl epkr4b   awesome come back from   via  
26,1.0,in montreal for a long weekend of r amp r  much needed 
27,1.0,booz allen hamilton has a bad ass homegrown social collaboration platform  way cool    ttiv
28,1.0,  mluc09  customer innovation award winner  booz allen hamilton    http   ping fm c2hpp
